1,1
1,2
1,3
1,4
2,5
2,6
2,7
2,8
2,9
3,1
3,3
3,10
3,11
3,12
3,13
3,14
3,15
3,16
4,11
4,17
4,13
4,18
4,19
5,20
5,21
5,22
5,23
5,11
5,13
5,24
5,25
5,26
5,27
6,28
6,29
6,30
6,31
6,32
7,28
7,6
7,33
7,34
7,35
7,36
7,10
7,12
7,18
7,15
8,6
8,37
8,21
8,2
8,23
8,38
8,39
8,40
8,4
9,41
9,6
9,33
9,1
9,12
9,15
9,25
10,42
10,43
10,11
10,13
10,39
10,44
10,45
10,15
10,4
10,46
10,20
11,20
11,47
11,48
11,21
11,23
11,38
11,11
11,49
11,13
11,46
12,50
13,48
13,1
13,3
13,51
13,39
13,52
13,15
14,34
14,1
14,4
14,32
15,6
15,53
15,18
15,15
15,4
15,54
15,32
16,34
16,55
16,56
16,32
17,57
18,6
18,58
18,1
18,3
18,11
18,12
19,59
19,38
19,13
19,24
19,39
19,60
20,5
20,61
20,62
20,6
20,37
20,21
20,38
20,39
21,5
21,63
21,59
21,12
22,48
22,1
22,3
22,51
22,64
22,13
22,65
22,32
23,1
23,66
23,67
23,35
24,1
24,68
24,2
24,69
24,70
25,71
25,72
25,73
25,74
25,28
26,75
26,76
26,77
26,78
26,79
26,56
26,12
26,4
26,18
27,80
27,75
27,34
27,65
27,81
27,82
27,76
27,83
28,84
28,79
28,67
28,85
28,35
28,86
28,24
29,76
29,24
29,56
29,41
29,87
29,88
29,18
29,89
29,12
30,90
30,76
30,38
30,91
30,92
30,93
30,34
30,94
30,15
30,95
31,7
31,96
31,25
31,24
31,97
31,98
31,65
32,12
32,56
32,99
32,55
32,100
33,24
33,1
33,101
33,4
33,65
33,23
33,102
33,42
34,91
34,103
34,39
34,38
34,92
34,101
34,104
34,1
34,65
35,105
35,34
35,38
35,101
35,106
35,7
35,4
35,12
35,35
36,107
36,53
36,108
36,101
36,109
36,100
36,65
36,110
36,15
37,24
37,39
37,111
37,112
37,21
37,113
37,114
37,115
37,116
38,117
38,118
38,101
38,35
38,24
38,106
38,100
38,119
39,120
39,97
39,121
39,11
39,101
40,122
40,90
40,86
40,123
40,124
40,125
40,126
40,127
40,128
40,129
41,5
41,91
41,130
41,38
41,131
41,132
41,15
41,65
41,133
41,134
41,135
42,13
42,79
42,69
42,65
42,136
43,22
43,24
43,137
43,113
43,15
43,138
43,39
43,38
43,139
43,92
43,101
43,140
43,33
43,141
44,1
44,92
44,101
44,91
44,79
44,69
44,4
44,142
44,143
45,91
45,65
45,1
45,144
45,69
45,145
45,146
46,91
46,145
46,148
46,149
46,4
46,84
46,150
46,146
47,53
47,151
47,32
47,121
47,84
47,4
47,152
48,153
48,124
48,38
48,94
48,92
48,144
48,77
48,154
48,155
49,156
49,134
49,157
49,92
49,158
49,45
49,160
49,104
50,1
50,161
50,162
50,51
50,163
50,92
50,101
50,164
50,91
50,11
51,79
51,165
51,99
51,15
51,166
51,167
52,168
52,92
52,91
52,142
52,15
52,39
52,38
52,101
52,79
52,169
